id,名前,規格,入値,在庫数,小計
714,アースおすだけノーマットプロ,125ml,783,2,1566
715,アース虫よけネットEX,1,582,2,1164
228,アイ浄綿,14包,100,2,200
319,IPOSHスプレー,400ml,679,1,679
526,IPOSH詰め替えパウチ,400ml,620,1,620
493,青汁マルチビタミンボーロ,18g,20.76,72,1494.72
658,あかぎれ保護バン,50枚,456,1,456
170,アクチビア軟膏,2g,600,1,600
595,ｱｸﾃｨ流せるおしりふき,100枚,232,1,232
272,浅田飴　固形クールＳ,50錠,564,1,564
273,浅田飴　固形パッシヨンＳ,50錠,555,1,555
432,浅田飴ＡＺうがい薬,100ml,464,2,928
275,浅田飴咳止め　オレンジ,36錠,391,1,391
211,味の素　梅がゆ,250g,128,5,640
213,味の素　白がゆ,250g,128,2,256
212,味の素　玉子がゆ,250g,128,4,512
271,アネトン　せき止め液,100ml,690,1,690
270,アネトン　せき止め顆粒,16包,890,1,890
36,アリナミンEXゴールド,45錠,2077,1,2077
590,アルコール配合除菌ウエッティー,12枚,133,2,266
163,アレルギール錠,55錠,490,1,490
604,アレルビ,56錠,711,1,711
478,アンメルツ温キューパッチ,48枚,301,1,301
42,イチジク浣腸30E,30g×2,169,2,338
519,壱番屋　低糖質バターチキンカレー,150g,273,9,2457
520,壱番屋　ビーフカレー,150g,296,5,1480
161,命の母Ａ,84錠,490,1,490
537,命の母　ホワイト,84錠,680,1,680
263,イブＡ錠,36錠,462,2,924
515,医療ガーゼ　ガーゼ10ｍ,30cmx10m,236,1,236
505,入れ歯洗浄剤ピカ,28錠,576,1,576
693,いわしで健康ごまみそ煮,60ｇ,142,4,568
612,いわしで健康しょうゆ味,90ｇ,142,3,426
492,ウィスパーうすさら安心　20cc,32枚,420,2,840
615,ウィスパーうすさら吸水85cc,16枚,576,1,576
80,ウィダーインゼリー　マスカット味,180g,132,7,924
636,ウィル・ステラV,60ml,538,2,1076
651,ウェルウォッシュアイ　A,10ml,353,1,353
145,宇津救命丸　「糖衣」,150粒,844,1,844
132,ウレシオ,100g,177,3,531
105,AZのどスプレー,25ml,318,1,318
440,エアーサロンパス　ジェットα,25ml,346,3,1038
632,液体ムヒアルファEX,35ｍL,742,1,742
120,エクエル,112つぶ,3158,1,3158
128,エクエル　パウチ,120つぶ,3000,3,9000
320,エクオール検査,1個,2634,1,2634
203,エスタックイブファインＥＸ,12錠,652,2,1304
542,えび塩雑穀せんべい,88g,216,1,216
288,エルペインコーワ,12錠,544,2,1088
1,オーエスワン（OS-1）,500mL,130.54,17,2219.18
102,オーエスワンゼリー,200ｇ,130.5,6,783
531,オイラックスA,10g,538,1,538
530,オイラックスソフト,16g,683,2,1366
45,太田胃散,16包,401,1,401
594,大判やわらかｼｰﾄからだふき,60枚,167,1,167
523,お薬カレンダー（M）,M,900,2,1800
607,おくすり飲めたねスティックタイプチョコ風味,18gx6本,250,1,250
323,お口潤うジェル,80g,605,1,605
322,お口潤うスプレー,50ml,600,1,600
294,お口キレイスポンジ　星形,12本,211,1,211
324,お口みがけるマウスウォシュ,250ml,533,1,533
84,男の鼻コットン,30個入り,142,2,284
481,おなか活き活きビフィズス菌,1.5gx30本,1720,1,1720
503,尾西のエビピラフ,100g,304,3,912
621,尾西の五目ごはん,100g,272,1,272
504,尾西の山菜おこわ,100g,304,2,608
502,尾西の赤飯,100g,272,2,544
707,尾西のひだまりパン　チョコ,1個,221,2,442
706,尾西のひだまりパン　プレーン,1個,221,2,442
708,尾西のひだまりパン　メープル,1個,221,2,442
667,お肌うるおうからだふき,30枚,321,1,321
274,オムロン　手首式血圧計 HEM-6161,HEM-6161,5000,1,5000
265,オムロン　デジタル自動血圧計　HEM-1000,HEM-1000,10462,1,10462
577,オムロン上腕式血圧計　HCR-7106,HCR-7106,7100,1,7100
104,オリブ油,100ml,200,1,200
185,オロナインＨ軟膏,50g,390,1,390
82,オロナミンC,120m,74.74,23,1719.02
338,ガーゼ,30cmx1m,65,5,325
245,改源かぜカプセル,30カプセル,653,1,653
152,カイベールＣ,48錠,320,1,320
109,カコナール葛根湯顆粒〈満量処方〉,12包,580,1,580
217,カゴメ　野菜一日これ一本　缶,190g,129,23,2967
147,ガスター　10　Ｓ錠,6錠,646,1,646
150,ガスピタン,36錠,1016,1,1016
337,カットメン,50g,150,2,300
308,カット綿　ＮＯ．4,500g,685,1,685
623,かっぱえびせん塩分35％カット,75g,94,4,376
350,カプセルＮｏ．1,50個,293,1,293
18,紙バン,10巻,22.6,4,90.4
683,ガム・歯間ブラシAC・L字型,SSS・10本入り,305,1,305
563,ガム歯周プロケア　ソフトピックカーブ型,30本,226,2,452
131,カロリーメイトゼリー　（アップル味）,215g,144,6,864
420,眼帯セット,1個,195,2,390
135,キャビロン　ハンドモイスチャーローション,60mi,708,1,708
196,キャビロン　ハンドモイスチャーローション　300ml,300ml,1695,1,1695
678,キャビロン皮膚用リムーバー,30ml,761,1,761
423,キャベジンコーワα,100錠,771,1,771
356,キュアレアα,8g,639,1,639
363,救急セットＣ,1個,1040,1,1040
153,救心,30粒,1494,1,1494
583,吸水ｼｮｰﾂ ﾚｷﾞｭﾗｰ　ピンクM,ピンク M,878,2,1756
584,吸水ｼｮｰﾂ ﾚｷﾞｭﾗｰ　ピンクL,ピンク L,878,2,1756
585,吸水ｼｮｰﾂ ﾚｷﾞｭﾗｰ　ピンクLL,ピンク LL,878,1,878
586,吸水ｼｮｰﾂ ﾚｷﾞｭﾗｰ　ベージュM,ベージュ M,878,1,878
587,吸水ｼｮｰﾂ ﾚｷﾞｭﾗｰ　ベージュLL,ﾍﾞｰｼﾞｭ LL,878,1,878
580,吸水ﾎﾞｸｻｰﾊﾟﾝﾂ　ｱｸﾁｨﾌﾞ　M,ﾌﾞﾗｯｸ　M,1003,1,1003
581,吸水ﾎﾞｸｻｰﾊﾟﾝﾂ　ｱｸﾁｨﾌﾞ　L,ﾌﾞﾗｯｸ　L,1003,2,2006
582,吸水ﾎﾞｸｻｰﾊﾟﾝﾂ　ｱｸﾁｨﾌﾞ　LL,ﾌﾞﾗｯｸ    LL,1003,1,1003
260,強　ミヤリサン錠,90錠,650,2,1300
700,金の青汁25種の純国産野菜,30パック,1021,1,1021
415,クールスロート,6ml,433,1,433
269,クールワン　去たんソフトカプセル,24カプセル,598,1,598
641,クエン酸くん,500ｇ,377,1,377
94,グリセリン,100ml,195,1,195
97,グリセリンカリ液,100ml,185,2,370
609,グルコレスキュー,25gx5,280,2,560
450,黒豆茶,60g,220,1,220
327,ケアリーブ　Ｌ16,16枚,215,2,430
360,ケアリーブ　円型,16枚,215,1,215
359,ケアリーブ　ジャンボ,5枚,215,2,430
358,ケアリーブ　ビッグ,7枚,215,2,430
362,ケアリーブ　フリーサイズ,2枚,271,1,271
386,ケアリーブ　指先用,10枚,215,2,430
366,ケアリーブ３サイズ,20枚,215,2,430
367,ケアリーブＬＬ,9枚,215,1,215
325,ケアリーブ　Ｍ,21mmx70mm 20枚,203,1,203
365,ケアリーブＳ,30枚,215,2,430
471,携帯おにぎり　昆布,42g,160,4,640
472,携帯おにぎり　鮭,42g,160,4,640
476,携帯おにぎり　わかめ,42g,160,4,640
404,化粧用水,500ｍｌ,88,1,88
603,減塩いつものおみそ汁赤だし,8ｇ,70,2,140
598,減塩いつものおみそ汁とうふ,10.3ｇ,70,4,280
599,減塩いつものおみそ汁長ねぎ,8.5ｇ,70,2,140
600,減塩いつものおみそ汁なす,9ｇ,70,3,210
601,減塩いつものおみそ汁野菜,10.1ｇ,70,4,280
680,減塩きょうのたまごスープ,５食,245,2,490
369,減塩ポタージュ,8袋,336,3,1008
479,健康応援チョコレート　ミルク,50g,224,4,896
352,抗菌綿棒Ａ,200本ｘ2,110,4,440
188,口内清潔ウェットシート,21枚,240,1,240
183,口内清潔ウェットシートボトルタイプ,100枚,520,1,520
66,コサジンガーグル,120ml,314,2,628
650,コットンZOO赤ちゃん綿棒,200本,165,1,165
620,子供用マスク,12.5cmx8.5cm,13,17,221
391,ｺﾊﾟﾄｰﾝﾊﾟｰﾌｪｸﾄＵＶｶｯﾄｽﾌﾟﾚｰ,50g,630,1,630
567,ごぼう茶,15g,220,2,440
673,コ・ボレーヌ男性尿器,1000cc,1365,1,1365
121,ｺﾗｰｼﾞｭDﾒﾃﾞｨﾊﾟﾜｰ,150ml,1960,1,1960
256,ｺﾗｰｼﾞｭﾌﾙﾌﾙﾈｸｽﾄｼｬﾝﾌﾟｰ　ｳﾙｵｲﾅﾒﾗｶ,200ml,1152,1,1152
